Segundos(s),Canal 1(V),Canal 2(V)
-13.40000E-03,-10.23947872E+00,+1.52528265E+00
-13.37500E-03,-10.40240272E+00,+1.63351914E+00
-13.35000E-03,-10.57396365E+00,+1.59382850E+00
-13.32500E-03,-10.76535027E+00,+1.59198334E+00
-13.30000E-03,-10.94613702E+00,+1.59689069E+00
-13.27500E-03,-11.14046805E+00,+1.59959954E+00
-13.25000E-03,-11.33990273E+00,+1.57129395E+00
-13.22500E-03,-11.52402647E+00,+1.58491675E+00
-13.20000E-03,-11.71246868E+00,+1.58275752E+00
-13.17500E-03,-11.89619984E+00,+1.59202260E+00
-13.15000E-03,-12.06933112E+00,+1.55127197E+00
-13.12500E-03,-12.24364017E+00,+1.59269000E+00
-13.10000E-03,-12.43090462E+00,+1.55307787E+00
-13.07500E-03,-12.60678402E+00,+1.57412059E+00
-13.05000E-03,-12.79090776E+00,+1.54263503E+00
-13.02500E-03,-12.97130192E+00,+1.56057630E+00
-13.00000E-03,-13.15248126E+00,+1.53062184E+00
