Segundos(s),Canal 1(V),Canal 2(V)
-32.65000E-03,-16.87236202E+00,-2.58793972E+00
-32.60000E-03,-17.27437207E+00,-2.43718595E+00
-32.55000E-03,-16.87236202E+00,-2.61306535E+00
-32.50000E-03,-16.87236202E+00,-2.61306535E+00
-32.45000E-03,-16.87236202E+00,-2.58793972E+00
-32.40000E-03,-16.87236202E+00,-2.78894475E+00
-32.35000E-03,-16.87236202E+00,-2.61306535E+00
-32.30000E-03,-16.52060322E+00,-2.46231158E+00
-32.25000E-03,-16.97286453E+00,-2.61306535E+00
-32.20000E-03,-16.87236202E+00,-2.38693469E+00
-32.15000E-03,-17.27437207E+00,-2.61306535E+00
-32.10000E-03,-17.22412081E+00,-2.78894475E+00
-32.05000E-03,-16.87236202E+00,-2.41206032E+00
-32.00000E-03,-17.22412081E+00,-2.81407037E+00
-31.95000E-03,-16.87236202E+00,-2.58793972E+00
-31.90000E-03,-17.27437207E+00,-2.61306535E+00
-31.85000E-03,-16.87236202E+00,-2.41206032E+00
-31.80000E-03,-16.92261327E+00,-2.58793972E+00
-31.75000E-03,-16.52060322E+00,-2.41206032E+00
-31.70000E-03,-16.52060322E+00,-2.83919600E+00
-31.65000E-03,-17.22412081E+00,-3.26633168E+00
-31.60000E-03,-16.52060322E+00,-3.16582917E+00
-31.55000E-03,-16.57085448E+00,-2.18592967E+00
-31.50000E-03,-16.92261327E+00,-2.41206032E+00
-31.45000E-03,-17.27437207E+00,-2.76381912E+00
-31.40000E-03,-16.82211076E+00,-2.41206032E+00
-31.35000E-03,-16.82211076E+00,-2.63819098E+00
-31.30000E-03,-16.92261327E+00,-2.96482414E+00
-31.25000E-03,-16.92261327E+00,-2.78894475E+00
-31.20000E-03,-16.87236202E+00,-2.63819098E+00
-31.15000E-03,-16.52060322E+00,-2.61306535E+00
-31.10000E-03,-16.87236202E+00,-2.58793972E+00
-31.05000E-03,-16.87236202E+00,-3.16582917E+00
-31.00000E-03,-16.87236202E+00,-2.61306535E+00
-30.95000E-03,-16.87236202E+00,-2.41206032E+00
-30.90000E-03,-16.52060322E+00,-2.61306535E+00
-30.85000E-03,-16.92261327E+00,-2.26130655E+00
-30.80000E-03,-16.87236202E+00,-2.81407037E+00
-30.75000E-03,-16.87236202E+00,-2.43718595E+00
-30.70000E-03,-16.87236202E+00,-2.58793972E+00
-30.65000E-03,-16.62110573E+00,-3.36683420E+00
-30.60000E-03,-16.87236202E+00,-3.36683420E+00
-30.55000E-03,-16.52060322E+00,-2.66331660E+00
-30.50000E-03,-16.87236202E+00,-2.91457289E+00
